,item_name,description,item_link,img_src
0,Sofishie,Sexy V-Back Criss Cross Panties,https://www.amazon.com/Sofishie-V-Back-Criss-Cross-Panty/dp/B078NMGM3Y/ref=sr_1_1?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-1,https://m.media-amazon.com/images/I/71laHeK50KL._AC_UL320_ML1_.jpg
1,jooniyaa,Women Variety of Underwear Pack T-Back Thong G-String Panties,https://www.amazon.com/jooniyaa-Varity-Underwear-G-String-Panties/dp/B077VV5ZGR/ref=sr_1_2?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-2,https://m.media-amazon.com/images/I/71H2uDnJt1L._AC_UL320_ML1_.jpg
2,Sofishie,Sexy Strappy Lace Panties,https://www.amazon.com/Sofishie-Sexy-Strappy-Lace-Panty/dp/B07J9LW5JJ/ref=sr_1_3?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-3,https://m.media-amazon.com/images/I/81HWBdwAZcL._AC_UL320_ML1_.jpg
3,Kingfung,3-6 Pack Women's Invisible Seamless Bikini Underwear Half Back Coverage Panties,https://www.amazon.com/Kingfung-Invisible-Seamless-Underwear-Coverage/dp/B0748H1LJC/ref=sr_1_4?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-4,https://m.media-amazon.com/images/I/81mD+85jy6L._AC_UL320_ML1_.jpg
4,NYKKOLA,"Valentines Day Gift,2 Person Hot Sexy Fun Fundie Underwear Panties for Couples Bachelorette by NYKKOLA",https://www.amazon.com/Valentines-Underwear-Panties-Bachelorette-NYKKOLA/dp/B00JZ5F03I/ref=sr_1_5?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-5,https://m.media-amazon.com/images/I/61i6WR2ER2L._AC_UL320_ML1_.jpg
5,Sofishie,Sexy Boyshorts Briefs Packs,https://www.amazon.com/Sofishie-Sexy-Boyshorts-Briefs-Packs/dp/B07BW2VB4Z/ref=sr_1_6?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-6,https://m.media-amazon.com/images/I/819KNOagqjL._AC_UL320_ML1_.jpg
6,Anna & Eric,4 Pack Women's Lace Thongs Bikini Panties Sexy Lingerie Panty G-String Underwear,https://www.amazon.com/Anna-Eric-Lingerie-G-String-Underwear/dp/B075NLTPJR/ref=sr_1_7?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-7,https://m.media-amazon.com/images/I/81VOZh7hNvL._AC_UL320_ML1_.jpg
7,Sofishie,Sexy Cage Back Panties,https://www.amazon.com/Sofishie-Sexy-Cage-Back-Panties/dp/B0716KWYP6/ref=sr_1_8?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-8,https://m.media-amazon.com/images/I/71NTnyuK+NL._AC_UL320_ML1_.jpg
8,UWOCEKA,"Sexy Underwear, Kinds of Women T-Back Thong G-String Underpants Sexy Lacy Panties",https://www.amazon.com/UWOCEKA-Underwear-G-String-Underpants-Panties/dp/B0751X786T/ref=sr_1_9?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-9,https://m.media-amazon.com/images/I/71Xh3JNIZYL._AC_UL320_ML1_.jpg
9,KUKOME,Women's Lace Underwear Birefs Soft Hipster Panties Comfort Bikini Underwear for Ladies,https://www.amazon.com/KUKOME-Womens-Hipster-Briefs-Panties/dp/B01DG9C4YQ/ref=sr_1_10?crid=26GKVG63H487M&keywords=sexy+panties+for+women&qid=1568519535&sprefix=sexy+pan%2Caps%2C162&sr=8-10,https://m.media-amazon.com/images/I/618Nf8Y-wxL._AC_UL320_ML1_.jpg
