,0,1,2,3,4,5,6,7,8
0,"            Evening Content Review Analyst (4PM, 5PM, 6PM Start Times) (...",Genpact LLC,3.9 out of 5 star rating,Sponsored,"
            Inviting applications for the role of Content Review Analyst . Gather,analyze and utilize relevant data to develop ways to improve the overall userexperience…","3,929 reviews",https://www.indeed.com//cmp/Genpact/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Evening+Content+Review+Analyst+%284PM%2C+5PM%2C+6PM+Start+Times%29+%28%2415%5C%2FHR%29&amp;fromjk=2abb14d749a2a091&amp;jcid=03638c05975992a3,"Richardson, TX 75082",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1V5fTP6wkBpTMIH8bKVasCM27LHk5tUpnHt08yQA8DQ5W3bni776uDkax5QZkkb2oNf46-UCxCI6hZ0O_0e7EQ3PmRDDtT152t2quf9WGgZVczE8-o32OUo9xQsEfBWd3e0dFVxYaLQNsn0LbU7G1EOjgG7Ua-1OjboEfPdEapaS3kEt_aoEQy6Hpt9oVckt5VdFuG-8iQM6zQxqQKZOyT6jVvXYqZkDBB2f6o4KFJ_tfCQHPhDwTZbVpnEdhw7_LAtQo5sLwka0lB27DKdr3D87Y4Lf2SeD4CQmHOCh89Pid7W0i3p18WwlWVGg8g8misU8VZOowZMvnzS5pjfkG4yHc9PdRm2qXLfBfJMp6SGv3C26cQbgaR-ymvMYtqHtJKi6DhOVXhV1XdWrEk9dNj1vkIoVTWUi3Qj_b2A1AQ9h522dVyMAQgDAzsxuN0ti3iHNMznsOYjMuyFuQLb5hM2YmmgvDhadFPyjpxLDZFeCImj0PLnZ&p=0&fvj=1&vjs=3
1,            Inventory Control Analyst,Continental Batteries,2.5 out of 5 star rating,Sponsored,"
            In-depth Data Analysis to maintain the highest performance at all locations. This position isresponsible for analyzing data, analyzing sku and product group…",8 reviews,https://www.indeed.com//cmp/Continental-Batteries/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Inventory+Control+Analyst&amp;fromjk=a1bde6c51e934374&amp;jcid=a0ba07526193b6fc,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C26OBtwp_bDapmpWzoOSaF3G_c9kj5VW8HVQsm68Rt3CTpt7mR7HzDdERJUMV4NvLEA84NquTXWkwD3GvxWDSgING2fS_htYo28QGWSQqIjiJxmSenH1NomsrUJlDHJEBFimhQP32Khxgnvri80rvaaL6LkS2TnzgpBxnJ3zPEInfdQXv-pvPZgTy13skDf-yHgAloxJj8-gCRNA_252LVDSo_U0rSS0EIOJR7L3KX7YuwVzr8lDVZEeyRGu9boYpEliJ7maaYRG4Okt_y4tezphE2AqQQWyDqp3GANiRlIP3N_Qu8w-kwZx1uihOmVhwbC0Et0apLt-Ej7Lq0opC3MMW3vaeHxT7MaumT9SUnHTSIC9pRaPCrmmI_rYAvS9rNGqLh9iPlnqe4g5jZyXy5sQ9eCJDKKHdyRI9mvDggznAYLZbJDZ6YAIF-OVkRT_0=&p=1&fvj=1&vjs=3
2,            Support Analyst,"SimpleLTC Systems, LLC",NULL,Sponsored,"
            3 years of customer service experience. We are seeking a talented individual with a passion for customer service, an eye for detail, and a strong desire to…",NULL,NULL,"Richardson, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2wfulQF9oZ-ZSJ-mo6VmM85E0P1m_2aUOMOc6iABymjQSg37JanQ7nyDt986Xh8U4gYG9XNMzdcN5UxFUXdmAX6scBrXPeZ83UmgONsj6a2FLwZYKeXRmtQBFgvn0hRjDh4DkA0Kl686S50fM47iug_Sg27NK_RO1H_JiP6AlU0jU0GWtnX1rutdDW-iw-0AzFzEbDr7lQYVyNau9eNNoGm-1hWrHeQvuoHYxPX1icfK18XU_3jlZFp6bEayGy7L29rJZ3rIab_I3BZ8aQ50a0RhKkvNjCFLLDPoXolnUrIhZNvwoA-l3Gq1EsOlzN3OGTltXyWptg6rI8uFiOU-A_TzxCg7EFjFp_1m7zCJcz7Wp1YG4b2nmVYQDwfuRZZ9XKQDPYSgL_12kBgMbng5DlWHgiEJHN6NnLRbN2GWPMpGuIXgmxUO4&p=2&fvj=1&vjs=3
3,            Performance Analyst,Neiman Marcus,3.7 out of 5 star rating,Sponsored,"
            Conditional formatting, data validation, pivot tables, external data connections). Identify existing sources of data or acquire new data sources from which…","1,516 reviews",https://www.indeed.com//cmp/Neiman-Marcus/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Performance+Analyst&amp;fromjk=c9fa5ab039f3d82e&amp;jcid=7a11eee3ff8b533d,"Irving, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPDdo9mqiGhtZC9HKuphxlVfCd0lIJzFNz9u3zyJZzY-q-nl0eberdfUKVbrpVOST7YhEnGKJBr8EZIoD9fsRJllo1eUJx3bdIQR0uD3MUeIOlcLTAc_qnYcJJDfKmoM30PatKBMPdB9-E8c5_h_q25AxXRMLy7YlgwEWX1XZBTRIsHJGgshNvfXbj0bVSZr1usGjK28K_JDKog-wpVSG92sSpb5o3s3LMi44gEE6kpfwkakKY2RXZbwa_eSqAvasyHD7SPSMFC5Db13171dthfNyVnaSbLuNPkSXBFLuAmf4jEU3FX1z5sgY3TdsVaPZpPO5qYu06LpAsNoCYqxx76SsUFv4s7d_mEJlR2dR3O87NxH1RBdDUIEVMY_FX4uEZMsYTy-e7Y2Bpp9PD--D1sFHFZ5wpcHXwsKLsXIJZs_Nshudsyip2&p=3&fvj=1&vjs=3
4,Data Entry Analyst,University of Dallas,NULL,save job - more...,"
            UD is currently seeking a Data Entry Analyst who assists in management of prospective and applicant student data and application materials.",NULL,NULL,NULL,https://www.indeed.com/company/University-of-Dallas/jobs/Data-Entry-Analyst-76476c227ee9fcf1?fccid=0a4e9ce09692de55&vjs=3
5,Data Analyst I,"National Healthcare Solutions, Inc.",NULL,21 hours ago,"
            Design and implement the transformation of data into schema to support group data, eligibility data, and premium billing data, claims data, provider data, and…",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=7b88224723e74e72&fccid=4fa3ca685d6e6646&vjs=3
6,Data Analyst,UT Southwestern Medical Center,3.9 out of 5 star rating,save job - more...,"
            This position is security-sensitive and subject to Texas Education Code 51.215, which authorizes UT Southwestern to obtain criminal history record information.",787 reviews,https://www.indeed.com//cmp/Ut-Southwestern-Medical-Center/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst&amp;fromjk=3b4f354273e913ee&amp;jcid=245cecf5f0560d8c,NULL,https://www.indeed.com/rc/clk?jk=3b4f354273e913ee&fccid=245cecf5f0560d8c&vjs=3
7,            JR. Data Analyst,Plasma Computing Group,NULL,save job - more...,"
Data analyst will be preparing technical Bl reports by collecting, analyzing, and summarizing information and trends to gain insights on large data.",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=5111df921e6899f2&fccid=62962e7b20e362c4&vjs=3
8,Data Analyst - Data Integrity,Cyxtera,2.5 out of 5 star rating,18 hours ago,"
            2+ years’ work experience in a Data Center environment. Experience in data visualization and building dashboards (Tableau, R, Excel, etc.).",4 reviews,https://www.indeed.com//cmp/Cyxtera/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst+-+Data+Integrity&amp;fromjk=ad21d7d1e6ad2069&amp;jcid=e6b81616838b79ae,NULL,https://www.indeed.com/rc/clk?jk=ad21d7d1e6ad2069&fccid=73c3e326a2834d49&vjs=3
9,Data Analyst,STOICSIT,NULL,5 days ago,"
            Knowledge on Data Modeling and Erwin Tool. Understand Meta Data Hub concepts and support MDH. Understand Star Schema and snow flake schema in Data warehouse.",NULL,NULL,NULL,https://www.indeed.com/company/STOICSIT/jobs/Data-Analyst-fbf3abf5a8ad605b?fccid=aaaf2bdd122d1976&vjs=3
10,Data Analyst,Caprus,NULL,4 days ago,"
            Extensive experience with complex Data Analysis, Profiling and Mining. Familiarity with Data Quality concepts and IDQ knowledge is a plus.",NULL,NULL,NULL,https://www.indeed.com/company/Caprus/jobs/Data-Analyst-125a8b3d2fa42d05?fccid=8483fb422640daad&vjs=3
