,0,1,2,3,4,5,6,7,8
0,Data Analyst,Alaska National Insurance Company,3.8 out of 5 star rating,Sponsored,"
            Reports to the Data Management and Reporting Supervisor. Analyze and validate data on weekly and monthly basis. Provide insight to the lines of business.",32 reviews,https://www.indeed.com//cmp/Alaska-National-Insurance-Company/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst&amp;fromjk=078ce2fbe1646c68&amp;jcid=2459a2b27412c227,"Seattle, WA 98104",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D82P7a3u0o0AGGWpiFGnp-QdmtNPLkMSyORFObqwxgWpzvUL4zo2b9EjRaRRxhAs_S5ClkGWumn1AQ03VhFykOxO-K7k9bPBmb5F_7H7pSgtbftQU_GLtMStS7-H1UDxlc-XGOtg5AxtsLmw_DnIKqVmbd6NvIcbibyuvi2wO_bYcjguF9Ym3gg-tsZEPmxUFwvCMZX9JGYdKX-spWxqlg-RMa63GWA0RkspkDOAaqSAAdlTDpKtIglexx30JjlWzQ-O2gdOHLSehd3ah1AtWJQsGCgCZNTZ1x7zm6PZVG0xjWBi5nBOigTLMte228Mm8LRVhqQjjnF8R1s-CKjavktRZPW63Pzng7oHo_mOpPs5ewfui-vq43OHKsGaRC3ZoODR4B4sOn7W5UVB6t7rcsdosyPb3EU_8WA_gangllBw==&p=0&fvj=1&vjs=3
1,            Manufacturing Operations Analyst,BOEING,4.0 out of 5 star rating,Sponsored,"
            Consistent in attention to detail and organizational skill set. Boeing Commercial Airplanes is seeking a Mid-Level Manufacturing Operations Analyst to join the…","6,687 reviews",https://www.indeed.com//cmp/Boeing/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Manufacturing+Operations+Analyst&amp;fromjk=6ea536dc51b9761d&amp;jcid=edae4285faf6c2f0,"Everett, WA 98204 (Holly area)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AlGq2ezw_zbUoQtb1YQBPO9HAJJllUnBIqAdZySIpvmhQj4Amzgmv8vIfW85wz64d4-oTjM2nThQNGC8tCmtphKRE655DeQKvwnRmDL-LhgpOWDEX48KRWCXyzCnPciR38itcH-JhCdIOHuMQle437IX6nq_UzjfEKsd7ObEUUsrgbKxeE49i2W4BtEjxK4Y8JPZL5lGtuoT68z4M6aMGTo7okFS5UMYr_t65SG7MUrVqEacHysf0U0FWKI4XZFvf5oNJxQK2mZlQiAFnUBPUzF88NAxprSsE2ZtcAn6edlJeno3LhwIQB66vdqHh9sypravfyDD-ueBw9wU1Dlt_2rivGh4IJ1RfAOMkxN7g_JWeCcJZEmotZyifIFXOI9uLtUJ7gEeEYoRUC3M6ZTL-_KLhlxt9mrGkunjgN8LCajW53ZNgEKe4DFE1LOECdL9L7fxfgeBmo4W0TX4gt50WfdSbp0u4Ukks_7chuekcD9RV7AVLOVotr8AR8vm7BkkHrlAX4jRMbzg9EDnz3LZeLsnWmK9rXWnpf1bFIUdvg7JR6Wvjaio8bv6YV2-W7R8v-ZkQQ_dBCOSfDMlmg9IWY1TaEI4p4b6QyG43sYnfeJd0YQS-_kCGvHhxVTTKk3kRw5LUFOR1S5g==&p=1&fvj=0&vjs=3
2,Data Scientist - Experimentation,Apple,4.2 out of 5 star rating,Sponsored,"
            Experience developing data science pipelines & workflows in Python, R or equivalent programming language. Experience with big data processing (Spark, Hive, Pig)…","8,015 reviews",https://www.indeed.com//cmp/Apple/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Scientist+-+Experimentation&amp;fromjk=2c0b42cf29ef2d2a&amp;jcid=c1099851e9794854,"Seattle, WA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D4BtUbIrDMkalq6ptvGBorBWk-T6D_x1TipmER1OxNA9z07-yGEh2dSWRzX8wqAptsRjT2eNxmEdfnGdo_IJMX53AgyT4UUSpt_17ZCg_KJtWfQDqEfTwwNlf5HBJ-0cI0272ca_QMiVDYvpg7HIWjFVC2KP7ETVaZh-eiWEX2w1xE49haPlpS3YNdyWNKHjR9mdRNKFiJBtnu2lI9OPygV56W6wAgHEmBlQdMu7SCmgIqte_yjTCBQcNNmybMH0znZn_M00NCOx6S03hdjd5p3kmh3eo4r6u0hlijm3klYGYMgcWz_2Xo22dVdGHOOz34NQ4vIalFz8OmIYProvHgKje6Z51mE6QL3d9obGRj3e3L5cl6oNZYRyoOPgPA1lMfMEg97aKl-9fIbE6s2TNfDKBCJ6bUVq4H4GWWkQ80cY66NJWyTEWXNwLjolacRhfyWARW9YH9IraOKzWdAteokA1RCY_NyihSVKnOaVFCVRfSkpjR6GSG6uIUa1qGrpoEJkwfQwxt2E_3G71cb8Mgl_aLIoayw3tIKcN5rwXMl-wHMnzKgCuKVUW_5lfv0H-Pk774FdoEpmAvSHURf-tM6XqVNJ2koXk5PTbz4Oc0lADGa4Hzy56jkLXfjTIfkfk=&p=2&fvj=0&vjs=3
3,            Board Certified Behavior Analyst [BCBA],Magnolia Behavior Therapy,NULL,Sponsored,"
            Board Certified Behavior Analyst (Required). Magnolia Behavior Therapy is actively searching for a BCBA, or a BCaBA, to join our team in Kitsap County as…",NULL,NULL,"Bremerton, WA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cz2HYYMLhNw2kkz9t2017k8UVr6cUzmNtLDIwEJ9OH41tkmmQ_8M-iM4SzY4PZjSkZc9Yl4-GKmZ1631ULuAHKdfNEMPAxWSYpEROuSFNiOY0r-fdJ5_GEaRnbE5FEkkQQRE712C28Ff_7NKU-9otPi4yf28AxCHq00AVyfs6jGtJ6wlr7iQAa1ib4c2RFy1dgDdlclnabcmxibd9YNBGGS8rNXcMypysgQzHcyAOIleV2MoCvt8dXUEwpURpA6RVyTDXOAMfNs0l5hNzT2lAn_noXWldSW7dMyMpVlXc4yBMcQWWeQzxO-qrctLVF5phXbouhTJQoEkh5ux2iOJcph8_Almr4WUuPKfDPvYF9xqjvmGN3UEEnX8gP_z1ZP6TTgvo53uJkAoF96uVW-xGbZcj7DL92yUIT1kHBbCbeqd_1Dy2sfABw7yFXnR7icCZXhiyigDR44Q==&p=3&fvj=1&vjs=3
4,Data Analyst,Indeed Prime,NULL,Sponsored,"
            Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.",NULL,NULL,"Seattle, WA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ9fPQPBH5rmPMvTA7rrKbYDLTmLTWpWm8g_NzvTL0EVIuL-FzDJYurZAj9nlBJEC33E4k3a8kjC_Y2r0tmRvpHwgmklilnZB1i_o3fmNnvjY1q86TcRfgbJGItLz84IfBvkJh2zs5fTbbsFFEuiUgYJlFrAiflNxr-hLvVyRKzSDph4W3YXQIxfIx37WSwlFvoV-IGMB3N2D1zoSHIi7kvTrf10f_4YyZiIzkO7iXGIOnQK7O1F3rvBI_dlLSXp9Q5lC18c8Bd9K2OEdJQGcRcBTb5IXaEJSDLs5ddqedXfS0ujRrx_hAPep9MnX-T3URtBo_-TyipDXtqBqMVdACqM8cT80x53wkXRlv9pVwuXYmgZbjUr2oYv5ph0xZgX5D57pHInpl-5N82ZEwMF_ER0GzPCDRHosAYRAKSRoMYkGPV984ahBfM1cZb0ApBKDk-j0LBrHM3s5RkBYTsEefBVxqW1GbxyacpWZudbcdaTJ-iDmm0Ja4bRNNZ8mwxNOKHBg9Sm-uFmy&p=4&fvj=1&vjs=3
5,"Analyst – Manufacturing, Infosys Consulting",ITL USA,3.9 out of 5 star rating,Sponsored by Infosys,"
            Analyze increasingly complex data sets and draws logical and compelling insights from data. Analyst – Manufacturing, Infosys Consulting.","11,628 reviews",https://www.indeed.com//cmp/Infosys/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Analyst+%5Cu2013+Manufacturing%2C+Infosys+Consulting&amp;fromjk=35b4d68bbc3ca9ef&amp;jcid=d4cd74bea75e0f80,"Seattle, WA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RaqWQ7rFuLildUc3byFWIYq7PDKj4W6fdaM0LFBuizdInFYcbiFwCQxVMlPIypVsjyXpJcf28n0f7PzZxg_ZkpkbeXwkoDOYsixbPLt2PvdghhAGFuDwi8WOdJazZBFe2NcFPgmhtMXsDe8_cEeF8D57ws_cCK3PwbaUInVnCjMm0WcWTNb8xnkidolxzYhzE8A5QxIQWCRSp-mylPW_guklCeSTQavCDm13eMBWqp1BlJGWpRTNVUDlMFP-y0q2LNsDwWDkjVbXktUTVFIkb7Wai8oG_76isKmFSo70JGUJV_QNaUneBXoSZDUkCkwIORYJ13rNlwB4g-CArvydPvUpRq9o0-kxNiOsXGY3K9U3W5lCRa5Tc8MiRcFRWeZBxKFAjcyjaxruiMMxrE0FG4sMhWq9nPNSDF3rtqzTCbrN4sw7nUxNE4_kCUjs1GDZcCxgVEF-4KtyLR7Gd5Vgr9aUHoamEzjEpOyL8olSoL6Z2iLM8KDlYiM=&p=5&fvj=0&vjs=3
6,            Customer Data Analyst/Research Panel Manager,User Research International,NULL,Sponsored,"
            As a Customer Data Analyst / Research Panel Manager, you will: User Research International is looking for a motivated Customer Data Analyst / Research Panel…",NULL,NULL,"Redmond, WA 98052",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AweOlKeR5majOwBUc62QE-iHKYyuZTGClssDbookw1-5i11GmGH17OqLfH6FwjeE8AfeaLbTvkPV9PjtGsMW06mwYzJFq2_zix6ENhFjBm3d8Y9hrKAdkX-q1OCPqUy7P9__upnCWxuQqeV2c5G-Zch761AVxm5YstnryUxuQAHmWe7omcmqsVsFsEIMEcAOi1dhcAgL_ViAkW8LYfUhqL4thFZLYFuVgvLv_8LKbeOT94aNVcaWQeJ44hffeiZhtV0iTt6KwsheOa0WJ1He_hw2p7YM-kCjrZpuLywyTMn8PNtniINAxKa_0ldllq_kSLnjiiYOGtMWJ9jyDHb-BOnSMvi0Yym7FgwWzRSZjYXCvX2ce2OY7pLH_HftjIqaeZztBt4O54jqcQgpb6KYQ8qV3GRhw-BOey0Bm9aE7NAQ95y6pw5I_I0GWTbgrURdmSmB5UEKW6RrPzLcXid9Oz&p=6&fvj=1&vjs=3
7,Data Analyst,NavigatorCRE,NULL,22 days ago,"
            Helping manage inbound data from clients, organization, scrubbing, uploading, enhancing, data security. The Data Analyst at NavigatorCRE is a multi-faceted and…",NULL,NULL,NULL,https://www.indeed.com/company/NavigatorCRE/jobs/Data-Analyst-96c4fd56ac090907?fccid=a1e72298571002b2&vjs=3
8,            Jr Data Analyst,doxo,4.5 out of 5 star rating,save job - more...,"
Data Analyst to join our Data Analytics team. Manipulate data with SQL and Excel. The primary focus is on helping grow and mature doxo’s biller directory by…",2 reviews,https://www.indeed.com//cmp/Doxo/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Jr+Data+Analyst&amp;fromjk=37fa11710a2dd30b&amp;jcid=a1f7794c208a33a3,NULL,https://www.indeed.com/rc/clk?jk=37fa11710a2dd30b&fccid=a1f7794c208a33a3&vjs=3
9,"data analyst - continuous improvement, global manufacturing...",Starbucks,4.0 out of 5 star rating,12 days ago,"
            Mentors new analysts in databases, tools, access, data prep techniques. Performs exploratory data analysis, cleanses, massages, and aggregates data.","36,605 reviews",https://www.indeed.com//cmp/Starbucks/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=data+analyst+-+continuous+improvement%2C+global+manufacturing+-+Seattle%2C+WA&amp;fromjk=c8420785625b87e0&amp;jcid=a88e611ddef97571,NULL,https://www.indeed.com/rc/clk?jk=c8420785625b87e0&fccid=a88e611ddef97571&vjs=3
