,title,price,link
0,Risk of Rain 2,$19.99,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_topsellers_150_2
1,Assassin's Creed® Odyssey,$59.99$29.99,https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/?snr=1_7_7_topsellers_150_2
2,Homeworld Remastered Collection and Deserts of Kharak Bundle,$84.98$9.55,https://store.steampowered.com/bundle/577/Homeworld_Remastered_Collection_and_Deserts_of_Kharak_Bundle/?snr=1_7_7_topsellers_150_2
3,Frostpunk: Season Pass,$34.97$24.47,https://store.steampowered.com/bundle/11780/Frostpunk_Season_Pass/?snr=1_7_7_topsellers_150_2
4,Sid Meier's Civilization® VI: Gathering Storm,$39.99,https://store.steampowered.com/app/947510/Sid_Meiers_Civilization_VI_Gathering_Storm/?snr=1_7_7_topsellers_150_2
5,Stardew Valley,$14.99,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_topsellers_150_2
6,Age of Empires II: Definitive Edition,$19.99,https://store.steampowered.com/sub/248721/?snr=1_7_7_topsellers_150_2
7,Total War: THREE KINGDOMS,$59.99,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_topsellers_150_2
8,Castle Crashers®,$14.99$5.99,https://store.steampowered.com/app/204360/Castle_Crashers/?snr=1_7_7_topsellers_150_2
9,Frostpunk,$29.99,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_topsellers_150_2
10,The Elder Scrolls V: Skyrim Special Edition,$39.99,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_topsellers_150_2
11,Tom Clancy's Rainbow Six® Siege - Year 4 Pass,$29.99$23.99,https://store.steampowered.com/app/982730/Tom_Clancys_Rainbow_Six_Siege__Year_4_Pass/?snr=1_7_7_topsellers_150_2
12,Monster Sanctuary,$17.99$16.19,https://store.steampowered.com/app/814370/Monster_Sanctuary/?snr=1_7_7_topsellers_150_2
13,FINAL FANTASY XIV: Shadowbringers,$39.99,https://store.steampowered.com/app/1016870/FINAL_FANTASY_XIV_Shadowbringers/?snr=1_7_7_topsellers_150_2
14,Total War: WARHAMMER II,$59.99,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_topsellers_150_2
15,Dicey Dungeons,$14.99,https://store.steampowered.com/app/861540/Dicey_Dungeons/?snr=1_7_7_topsellers_150_2
16,Terraria,$9.99,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_topsellers_150_2
17,Totally Accurate Battle Simulator,$14.99,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_topsellers_150_2
18,Age of Wonders: Planetfall,$49.99,https://store.steampowered.com/app/718850/Age_of_Wonders_Planetfall/?snr=1_7_7_topsellers_150_2
19,ARK: Survival Evolved,$49.99,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_topsellers_150_2
20,Re:Legend,$19.99$17.99,https://store.steampowered.com/app/823950/ReLegend/?snr=1_7_7_topsellers_150_2
21,FINAL FANTASY VIII - REMASTERED,$19.99,https://store.steampowered.com/app/1026680/FINAL_FANTASY_VIII__REMASTERED/?snr=1_7_7_topsellers_150_2
22,PLAYERUNKNOWN'S BATTLEGROUNDS,$29.99,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_topsellers_150_2
23,Beat Saber,$29.99,https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_topsellers_150_2
24,Homeworld Remastered Collection,$34.99$5.24,https://store.steampowered.com/app/244160/Homeworld_Remastered_Collection/?snr=1_7_7_topsellers_150_2
