,Name,Link
0,Pecan Lodge,https://m.yelp.com//biz/pecan-lodge-dallas-3
1,Maple Leaf Diner,https://m.yelp.com//biz/maple-leaf-diner-dallas
2,Ellen’s,https://m.yelp.com//biz/ellens-dallas-4
3,Meso Maya Comida Y Copas,https://m.yelp.com//biz/meso-maya-comida-y-copas-dallas-4
4,Cattleack Barbeque,https://m.yelp.com//biz/cattleack-barbeque-dallas
5,Hattie’s Restaurant,https://m.yelp.com//biz/hatties-restaurant-dallas
6,Rodeo Goat,https://m.yelp.com//biz/rodeo-goat-dallas
7,The Boiling Crab,https://m.yelp.com//biz/the-boiling-crab-dallas
8,Hungry Belly,https://m.yelp.com//biz/hungry-belly-dallas
9,Mike’s Chicken,https://m.yelp.com//biz/mikes-chicken-dallas
10,The Porch,https://m.yelp.com//biz/the-porch-dallas
11,Smithy,https://m.yelp.com//biz/smithy-dallas
12,rise n°1,https://m.yelp.com//biz/rise-n-1-dallas
13,Smokey John’s Bar-B-Que,https://m.yelp.com//biz/smokey-johns-bar-b-que-dallas
14,Gas Monkey Bar N’ Grill,https://m.yelp.com//biz/gas-monkey-bar-n-grill-dallas
15,Hello Dumpling,https://m.yelp.com//biz/hello-dumpling-dallas
16,Koryo Kalbi Korean BBQ,https://m.yelp.com//biz/koryo-kalbi-korean-bbq-dallas
17,Gemma,https://m.yelp.com//biz/gemma-dallas
18,Streets Fine Chicken,https://m.yelp.com//biz/streets-fine-chicken-dallas-2
19,Homewood,https://m.yelp.com//biz/homewood-dallas
20,Aunt Irene’s Kitchen,https://m.yelp.com//biz/aunt-irenes-kitchen-dallas
21,Maple and Motor,https://m.yelp.com//biz/maple-and-motor-dallas
22,Ephesus Mediterranean Grill,https://m.yelp.com//biz/ephesus-mediterranean-grill-dallas
23,WingBucket,https://m.yelp.com//biz/wingbucket-dallas
24,Whiskers Fish & Burgers,https://m.yelp.com//biz/whiskers-fish-and-burgers-dallas
25,The Woolworth,https://m.yelp.com//biz/the-woolworth-dallas
26,Pappas Bros Steakhouse,https://m.yelp.com//biz/pappas-bros-steakhouse-dallas
27,Caribbean Cabana,https://m.yelp.com//biz/caribbean-cabana-dallas
28,Truck Yard,https://m.yelp.com//biz/truck-yard-dallas
29,Ten Ramen,https://m.yelp.com//biz/ten-ramen-dallas
30,HG SPLY CO - Dallas,https://m.yelp.com//biz/hg-sply-co-dallas-dallas
31,20 Feet Seafood Joint,https://m.yelp.com//biz/20-feet-seafood-joint-dallas
32,Lockhart Smokehouse,https://m.yelp.com//biz/lockhart-smokehouse-dallas
33,The Slow Bone,https://m.yelp.com//biz/the-slow-bone-dallas-2
34,La La Land Kind Cafe,https://m.yelp.com//biz/la-la-land-kind-cafe-dallas
35,Da Munchies,https://m.yelp.com//biz/da-munchies-dallas
36,Off the Bone Barbeque,https://m.yelp.com//biz/off-the-bone-barbeque-dallas
37,The Crab Station - Deep Ellum,https://m.yelp.com//biz/the-crab-station-deep-ellum-dallas-2
38,No.1 Plus Chicken,https://m.yelp.com//biz/no-1-plus-chicken-dallas
39,Asian Mint,https://m.yelp.com//biz/asian-mint-dallas
40,Meddlesome Moth,https://m.yelp.com//biz/meddlesome-moth-dallas
41,Gung Ho,https://m.yelp.com//biz/gung-ho-dallas
42,Dallas Grilled Cheese Co,https://m.yelp.com//biz/dallas-grilled-cheese-co-dallas-2
43,Flower Child,https://m.yelp.com//biz/flower-child-dallas
44,True Food Kitchen,https://m.yelp.com//biz/true-food-kitchen-dallas
45,Mama’s Daughters’ Diner,https://m.yelp.com//biz/mamas-daughters-diner-dallas
46,Public School 214,https://m.yelp.com//biz/public-school-214-dallas-3
47,Uchi,https://m.yelp.com//biz/uchi-dallas
48,Hide,https://m.yelp.com//biz/hide-dallas
49,Off Site Kitchen,https://m.yelp.com//biz/off-site-kitchen-dallas-3
50,Pluckers Wing Bar,https://m.yelp.com//biz/pluckers-wing-bar-dallas
51,CBD Provisions,https://m.yelp.com//biz/cbd-provisions-dallas
52,Crushcraft Thai Eats,https://m.yelp.com//biz/crushcraft-thai-eats-dallas-7
53,Grand Lux Cafe,https://m.yelp.com//biz/grand-lux-cafe-dallas
54,Dugg Burger - Casa Linda Plaza,https://m.yelp.com//biz/dugg-burger-casa-linda-plaza-dallas
55,Neighborhood Services,https://m.yelp.com//biz/neighborhood-services-dallas
56,Uncle Uber’s,https://m.yelp.com//biz/uncle-ubers-dallas-2
57,Beto & Son,https://m.yelp.com//biz/beto-and-son-dallas-2
58,LUCK at Trinity Groves,https://m.yelp.com//biz/luck-at-trinity-groves-dallas-2
59,Babe’s,https://m.yelp.com//biz/babes-dallas
60,Zåtar,https://m.yelp.com//biz/z%C3%A5tar-dallas
61,Si Tapas,https://m.yelp.com//biz/si-tapas-dallas
62,Burning Rice,https://m.yelp.com//biz/burning-rice-dallas
63,The Charles,https://m.yelp.com//biz/the-charles-dallas-2
64,Hillstone Restaurant,https://m.yelp.com//biz/hillstone-restaurant-dallas
65,Maple Landing,https://m.yelp.com//biz/maple-landing-dallas
66,Kalachandji’s,https://m.yelp.com//biz/kalachandjis-dallas-2
67,Aloha Hawaiian Barbecue,https://m.yelp.com//biz/aloha-hawaiian-barbecue-dallas
68,Twisted Trompo,https://m.yelp.com//biz/twisted-trompo-dallas
69,The Crab Station - Walnut Dallas,https://m.yelp.com//biz/the-crab-station-walnut-dallas-dallas
70,Texas Spice,https://m.yelp.com//biz/texas-spice-dallas
71,K’s House,https://m.yelp.com//biz/k-s-house-dallas
72,Wabi House,https://m.yelp.com//biz/wabi-house-dallas
73,Lovers Seafood And Market,https://m.yelp.com//biz/lovers-seafood-and-market-dallas
74,Ichiro Ramen Shop,https://m.yelp.com//biz/ichiro-ramen-shop-dallas
75,Hero,https://m.yelp.com//biz/hero-dallas-3
76,R+D Kitchen,https://m.yelp.com//biz/r-d-kitchen-dallas
77,Doma Seolleongtang,https://m.yelp.com//biz/doma-seolleongtang-dallas-2
78,Monkey King Noodle,https://m.yelp.com//biz/monkey-king-noodle-dallas
79,Celebration,https://m.yelp.com//biz/celebration-dallas-3
80,Hudson House,https://m.yelp.com//biz/hudson-house-dallas
81,il Bracco,https://m.yelp.com//biz/il-bracco-dallas
